node_id_from	node_id_to	length
177083796	177083902	15.921566
314704905	314704986	15.923268
315268523	315268575	15.926758
177083216	177083283	15.929812
242970243	242970380	15.932720
314704688	314704856	15.935170
177083633	177083687	15.940129
315844705	315844804	15.947314
177084212	177084267	15.948184
175859628	175859630	15.948613
175837194	175837221	15.962785
243254241	243254254	15.966678
175859327	175859336	15.967990
314704486	314705088	15.972653
130738716	130738733	15.974707
175859594	175859606	15.974844
174874646	174874656	15.978361
130736692	130736724	15.978753
677931346	677931358	15.983143
175366645	175366647	15.987500
314704645	314704913	15.990142
105573596	1304803780	15.991698
316047977	316048018	15.994567
242960547	242960598	15.995642
177084112	177084154	15.998080
315844869	315844907	16.001295
177083242	177083335	16.005014
175837163	175837205	16.005349
175837118	175837191	16.006744
316045278	316045367	16.013550
175366568	175366572	16.015662
315856347	315856356	16.026113
177083966	177084018	16.031487
130736200	130737301	16.032163
176124516	176124517	16.033979
175859565	175859567	16.040216
174874510	1306307019	16.043317
175837226	175837228	16.043519
177084361	177084523	16.043588
316634973	316635146	16.043862
175859602	175859604	16.046613
315844888	315844928	16.054933
315268632	315268634	16.055129
105692709	174874714	16.056006
177083806	177083878	16.057270
315844898	315844922	16.057820
314704537	314704702	16.058889
242199273	242199274	16.059233
130736738	1304812234	16.059863
2307988	2307998	16.060401
175837161	175837172	16.067101
316634987	316635095	16.067869
315844845	315844878	16.070501
177083635	177503758	16.071245
316015898	316015938	16.075266
176124246	176124249	16.075600
243390143	243390161	16.076043
130737045	130737050	16.077379
315844865	315844904	16.080878
176124367	176124375	16.084794
242199359	242199364	16.093037
314704684	314704855	16.102458
130736513	130736622	16.102844
242199258	242199260	16.106567
242960528	242960561	16.109329
176124423	176124431	16.116899
242970230	242970370	16.117045
1453376341	1453376342	16.117912
316045233	316045358	16.118253
130736628	130736665	16.123700
105573572	105573618	16.130322
258488763	258488764	16.139466
314704681	314704852	16.142564
316045047	316045182	16.146073
316008782	316008808	16.146230
242970215	242970290	16.146786
177083431	177083511	16.149634
130736470	130736535	16.155439
242970256	242970318	16.156096
242199263	242199267	16.157052
130738660	130738678	16.166158
130736703	130736712	16.169980
242960511	242960586	16.172835
130736194	130736268	16.182994
177083327	177083458	16.185992
242960530	242960563	16.192369
316045280	316045368	16.195349
316635119	316635168	16.197945
175176477	175176497	16.204240
177083874	177083910	16.206511
316045068	316045374	16.207711
176124326	176124328	16.208281
177084478	177084561	16.209830
314704596	314704758	16.211853
130738477	130738481	16.219069
174874507	174874523	16.220447
176124424	2149612785	16.224318
176124173	176124670	16.234325
316015898	316015945	16.235311
242970296	242970306	16.235667
177083596	177083660	16.239432
175859516	175859520	16.239555
177083933	177083964	16.241015
316045053	316045364	16.249667
314705057	314705146	16.254301
242350135	2498391314	16.256385
315856267	315856277	16.262943
316046665	316046727	16.265349
315844693	315844744	16.266111
105573583	105573595	16.269584
177083812	177083886	16.270548
177083526	177083615	16.271611
243390163	243390183	16.273176
130736915	130736939	16.274195
175836955	175836984	16.275951
242970227	242970300	16.280709
314704490	314705090	16.284438
315856326	315856327	16.291341
177084220	177084275	16.294160
175834339	175834354	16.295044
314704947	314705093	16.310175
175176489	175176496	16.310304
176124188	176124235	16.313172
130736663	130736703	16.315322
175834241	175834250	16.318961
130737287	130737329	16.320805
316008813	316008893	16.322123
177083222	177084558	16.325602
242915679	242915681	16.326946
316634983	316635107	16.328927
130736190	130737290	16.335667
242960546	242960577	16.338077
316045197	316045292	16.341020
176124177	176124706	16.349699
243256334	243256360	16.351107
316012462	316012464	16.353927
177083851	177084236	16.354289
678133021	678133022	16.358558
130736186	130737284	16.361768
1306292008	1306292009	16.364886
175834280	175834288	16.367310
130736712	130736734	16.370983
315844820	315844899	16.377566
316635111	316635159	16.379178
105573588	387494021	16.380744
175834159	175834177	16.383248
130736733	130736760	16.385931
175859445	175859512	16.387412
148138950	148138973	16.393541
316045166	316045440	16.393810
175859308	175859311	16.394964
316045061	316045369	16.399232
677931352	677931353	16.404698
242922553	242922554	16.405681
316635187	316635210	16.409589
315898325	315898329	16.412090
316047996	316048074	16.414839
177083197	177084533	16.416422
1306292061	1306292062	16.417243
175366624	175366650	16.421779
242970276	242970373	16.424550
242970602	242970642	16.425125
315844768	315844820	16.425712
175859599	175859601	16.426824
316047981	316048058	16.427038
177083638	177083697	16.429063
207217250	207217258	16.442662
242970240	242970283	16.448635
242970365	242970388	16.451264
316008780	316008834	16.453193
242199280	242199282	16.463176
315844695	315844948	16.466335
175176233	175176505	16.483588
242970273	242970283	16.485579
175837043	175837050	16.487824
175859484	175859487	16.489933
177083198	177084534	16.500490
175837173	175837178	16.504446
316046660	316046748	16.507973
175859404	1306292452	16.510772
130736221	130736368	16.515683
316045142	316045235	16.516146
316045150	316045199	16.517568
242960532	242960578	16.519610
175834229	1306092910	16.524442
177084073	177084377	16.524780
316635269	316635273	16.528534
175859495	175859513	16.533261
315844885	315844906	16.533675
315268594	315268628	16.534495
177083215	177083282	16.540375
176124462	176124464	16.543372
316503923	316503946	16.544473
130736221	130736291	16.544678
316048078	316048093	16.544900
177083367	177083439	16.545218
105573534	105573605	16.548501
314704637	314704800	16.552621
175859624	175859626	16.553598
316012446	316012448	16.555632
315268608	315268636	16.558477
242970318	242970364	16.559361
179439985	179439991	16.560442
177084146	177084204	16.567310
315882676	315882734	16.572299
242199251	1306290470	16.577617
176124474	1306292003	16.578491
157144656	211511572	16.578622
316045048	316045332	16.580651
105305350	163725053	16.584496
105305407	105305438	16.586640
130737283	130737367	16.587084
250747146	315856338	16.600069
175834131	175834368	16.602599
316015903	316015947	16.603305
242970271	242970309	16.607150
316015910	316015926	16.608872
316047957	316047975	16.608884
316045077	316045170	16.613181
315268523	315268619	16.614716
